title,genre,release_year
100 Days,thriller,1991
29th Street,drama,1991
A Rage in Harlem,drama,1991
A Woman's Tale,drama,1991
Aakhri Cheekh,horror,1991
Across the Tracks,drama,1991
Aditya 369,action,1991
Afsana Pyar Ka,romance,1991
Al-Kit Kat,comedy,1991
Al-Ra'i wal Nisaa (The Shepherd and the Women),drama,1991
All I Want for Christmas,comedy,1991
American Friends,comedy,1991
Another You,comedy,1991
April 1st Vidudala,comedy,1991
Armour of God II: Operation Condor,action,1991
Assembly Rowdy,action,1991
At Play in the Fields of the Lord,drama,1991
Backdraft,drama,1991
Barton Fink,drama,1991
Begunaah,"action, crime, drama",1991
Bill & Ted's Bogus Journey,comedy,1991
Billy Bathgate,drama,1991
Blue Desert,thriller,1991
Body Parts,horror,1991
Boyz n the Hood,drama,1991
Bugsy,"drama, biography",1991
By the Sword,action,1991
Career Opportunities,comedy,1991
Casino Raiders II,drama,1991
Chanti,drama,1991
Child's Play 3,horror,1991
Children of the Night,horror,1991
Chitram Bhalare Vichitram,comedy,1991
Chopper Chicks in Zombietown,"comedy, horror",1991
City Slickers,comedy,1991
City of Hope,drama,1991
Class Action,drama,1991
Clearcut,drama,1991
Close My Eyes,drama,1991
Closet Land,drama,1991
Cold Heaven,drama,1991
Cool as Ice,drama,1991
Coolie No.1,action,1991
Crazy Safari,comedy,1991
Curly Sue,comedy,1991
Daughters of the Dust,drama,1991
Dead Again,thriller,1991
Deadly,crime,1991
Death in Brunswick,comedy,1991
Deceived,thriller,1991
Defending Your Life,comedy,1991
Defenseless,crime,1991
Delirious,comedy,1991
Diksha,drama,1991
Dil Hai Ke Manta Nahin,romance,1991
Doc Hollywood,comedy,1991
Dogfight,"drama, war",1991
Don't Tell Mom the Babysitter's Dead,comedy,1991
Double Impact,action,1991
Drop Dead Fred,comedy,1991
Dushman Devta,action,1991
Dutch,comedy,1991
Dying Young,drama,1991
Edge of Honor,thriller,1991
Ernest Scared Stupid,comedy,1991
Eve of Destruction,action,1991
Eyes of an Angel,drama,1991
Farishtay,action,1991
Fateh,action,1991
Fight Back to School,comedy,1991
Final Approach,action,1991
First Love Letter,romance,1991
Flight of the Intruder,action,1991
Flirting,drama,1991
For the Boys,"drama, musical",1991
Freddy's Dead: The Final Nightmare,horror,1991
Fried Green Tomatoes,comedy,1991
God of Gamblers III: Back to Shanghai,comedy,1991
Grand Canyon,drama,1991
Guilty by Suspicion,drama,1991
Hangin' with the Homeboys,comedy,1991
Hard Promises,drama,1991
Harley Davidson and the Marlboro Man,action,1991
Hear My Song,comedy,1991
Henna,"romance, drama",1991
Homicide,drama,1991
Hong Kong Godfather,crime,1991
Hook,adventure,1991
Hot Shots!,comedy,1991
House Party 2,comedy,1991
Hudson Hawk,comedy,1991
Hum,"action, drama",1991
Hunting,drama,1991
If Looks Could Kill,comedy,1991
Impromptu,drama,1991
Indrajeet,"action, drama",1991
Insaaf Ka Khoon,"crime, drama",1991
JFK,"drama, biography",1991
Jungle Fever,drama,1991
Khoon Ka Karz,"action, crime, drama",1991
Khooni Panja,horror,1991
King Ralph,comedy,1991
L.A. Story,comedy,1991
Lamhe,"romance, drama",1991
Lee Rock II,drama,1991
Let Him Have It,crime,1991
Life Stinks,comedy,1991
Little Man Tate,drama,1991
Love Hurts,drama,1991
McBain,drama,1991
Meet the Applegates,comedy,1991
Mississippi Masala,drama,1991
My Girl,"comedy, drama",1991
Mystery Date,comedy,1991
Naked Lunch,drama,1991
Narsimha,action,1991
Necessary Roughness,comedy,1991
Night on Earth,comedy,1991
Not Without My Daughter,drama,1991
Nothing but Trouble,comedy,1991
Numbri Aadmi,"action, crime, drama",1991
Off Track,drama,1991
One Good Cop,crime,1991
Only the Lonely,comedy,1991
Oscar,comedy,1991
Other People's Money,"drama, comedy",1991
Out for Justice,action,1991
Paradise,drama,1991
Paris Trout,drama,1991
Patthar Ke Phool,"romance, thriller",1991
Point Break,action,1991
Poison,drama,1991
Prahaar: The Final Attack,action,1991
Pratikar,"action, crime, drama",1991
Prem Qaidi,"romantic, drama",1991
Problem Child 2,comedy,1991
Puppet Master II,horror,1991
Puppet Master III: Toulon's Revenge,horror,1991
Pure Luck,comedy,1991
